Question N°,Categorie,Questions,Réponse A,Réponse B,Réponse C,Réponse D,Réponse E,Réponse correcte,Photo / schéma technique,
1,1 - Mécanique générale,Quel est l'ordre d'allumage d'un moteur 6 cylindres?,2-3-5-6-1-3,1-5-3-6-2-4,1-2-3-4-5-6,4-3-6-2-1-5,6-5-4-3-2-1,B,,
2,1 - Mécanique générale,Combien de systèmes de régulation électronique de la conduite/freinage existe-t-il?,1,3,4,2,5,E,,"Système anti-blocage (ABS) qui empêche le blocage des roues lors du freinage, système d'assistance au freinage (BAS) qui détecte les situations d'urgence et assure une distance de freinage courte, système électronique de freinage (SBC) qui raccourcit la distance de freinage et augmente la stabilité du véhicule lors du freinage en virage, système antipatinage (ASR) et blocage électronique de différentiel (ESD) qui empêche le patinage des roues lors du démarrage ou en accélération, système électronique de la trajectoire (ESP) qui empêche le dérapage du véhicule"
3,1 - Mécanique générale,"Combien de type de système de refroidissement moteur peut-on trouver sur un véhicule VL, VU, VI…?",2,1,3,5,4,C,"Refroidissement par air, par liquide de refroidissement et par refroidissement interne de la chambre de combustion via l'évaporation du carburant",
4,1 - Mécanique générale,"Dans un moteur, combien de type de chemise peut-on trouver?",5,4,2,1,0,C,Chemise sèche et chemise humide,
5,1 - Mécanique générale,"Qu'appelle t-on la ""récession"" dans un moteur thermique?",Grippage des coussinets de bielles sur le vilebrequin,Enfoncement des soupapes dans leur siège,Usure des cames d'arbre à cames,Jeu latéral du vilebrequin,Détérioration de la segmentation,B,,
6,1 - Mécanique générale,Qu'appelle t-on la compression moteur?,Pression sortie échappement,Pression injection,Pression dans la chambre de combustion,Pression collecteur admission,Pression dans vanne EGR,C,,
7,1 - Mécanique générale,Quelles sont les fonctions du cylindre et de la culasse?,Transférer le couple moteur au vilebrequin,Permettre la lubrification du piston,Aténuer le bruit de l'explosion du mélange air/carburant,Guider les pistons et former avec ceux-ci la chambre de combustion,Augmenter la pression d'injection de carburant,D,,
8,1 - Mécanique générale,Combien de types de suspensions moteur existe-t-il?,1,3,2,,,C,"Support moteur issus de la combinaison de caoutchouc et de métal, supports moteur amorti hydrauliquement",
9,1 - Mécanique générale,De quelle manière doivent-être serrées les vis de culasse?,Dans un ordre précis et au couple de serrage préconisé,Dans n'importe quel ordre?,En partant des vis extérieures pour finir par les vis centrales,En partant du centre de la culasse vers l'extérieur,A la déboulonneuse et sans lubrifiant,A,,
10,1 - Mécanique générale,Y'a-t-il un réglage de soupape à faire quand le moteur est équipé de poussoirs hydrauliques?,Oui,Non,Jeu à régler à froid,Jeu à régler à chaud,,B,,
11,1 - Mécanique générale,Qu'est-ce qui permet d'emmagasiner de l'énergie durant les temps moteur pour la restituer par la suite?,Vilebrequin,Embrayage,Volant moteur,Ensemble bielles/pistons,Boite de vitesse,C,,
12,1 - Mécanique générale,Qu'est ce qui ne fait pas parti des fonctions de l'huile?,Lubrifier,Refroidir,Etanchéifier,Amortir les bruits,Limiter la production de gaz polluants,E,,
13,1 - Mécanique générale,Combien de type de distribution existe-t-il?,1,2,3,4,5,C,"Distribution par courroie crantée, par chaine et par cascade de pignons",
14,1 - Mécanique générale,Quels moyens de régulation de pression de suralimentation existe?,Régulation à commande pneumatique,Régulation électronique,Régulation par géométrie variable,Les 3,,D,,
15,1 - Mécanique générale,Le turbocompresseur est-il une pièce d'usure?,Oui,Non,,,,B,"Un turbocompresseur fonctionne sur filet d'huile, il n'y a aucune contact en ""théorie"". En cas de casse de turbo, c'est q'uil y a un dysfonctionnement dans le moteur et/ou son environnement. Le turbo sert de fusible.",
16,1 - Mécanique générale,Quels sont les modes de calage de l'allumage?,Dynamique,Statique,Les deux,,,C,,
17,1 - Mécanique générale,Qu'est-ce que le visco-coupleur?,Système d'embrayage du ventilateur de refroidissement moteur,Système de freinage de la boite de vitesse,l'intarder,,,A,,
